timestamp_reposicion,categoria_producto,ubicacion_mueble,cantidad_repuesta,etiqueta_reposicion
2025-10-27 09:39:00,Panaderia,117,145,1
2025-07-11 16:41:00,Congelados,115,7,1
2025-06-16 18:38:00,Congelados,117,20,1
2024-12-08 12:03:00,Limpieza,111,0,0
2025-10-02 17:04:00,Bebidas_Gaseosas,117,94,1
2025-03-27 15:58:00,Frutas_Verduras,111,56,1
2025-01-16 13:16:00,Limpieza,104,33,1
2025-05-08 19:22:00,Enlatados,120,0,0
2025-04-06 11:25:00,Condimentos,103,0,0
2025-07-17 10:22:00,Panaderia,109,0,0
2025-09-23 18:46:00,Enlatados,111,0,0
2025-04-22 17:28:00,Frutas_Verduras,114,42,1
2025-06-23 09:30:00,Lacteos,118,94,1
2025-02-19 18:47:00,Enlatados,117,34,1
2025-05-18 16:47:00,Panaderia,105,89,1
2025-07-21 11:07:00,Frutas_Verduras,103,0,0
2025-08-14 18:47:00,Frutas_Verduras,106,61,1
2025-10-12 18:05:00,Panaderia,117,133,1
2025-05-12 18:21:00,Condimentos,109,0,0
2025-02-07 11:45:00,Limpieza,111,0,0
2025-04-29 15:02:00,Bebidas_Gaseosas,107,66,1
2025-10-20 18:51:00,Bebidas_Gaseosas,120,78,1
2025-07-30 15:40:00,Lacteos,112,78,1
2025-01-16 17:43:00,Enlatados,104,0,0
2025-02-20 15:38:00,Lacteos,120,139,1
2025-06-19 08:27:00,Limpieza,107,29,1
2025-02-03 16:55:00,Panaderia,112,108,1
2025-11-07 12:24:00,Congelados,113,0,0
2025-01-31 10:42:00,Bebidas_Gaseosas,105,59,1
2025-07-12 12:29:00,Limpieza,115,34,1
2025-11-04 09:31:00,Frutas_Verduras,119,51,1
2025-07-31 19:38:00,Frutas_Verduras,116,42,1
2025-06-07 09:42:00,Congelados,118,27,1
2025-10-20 19:33:00,Lacteos,101,95,1
2025-05-11 13:17:00,Frutas_Verduras,119,0,0
2024-12-26 08:41:00,Limpieza,103,0,0
2025-06-26 14:30:00,Enlatados,104,41,1
2024-12-15 08:34:00,Bebidas_Gaseosas,108,98,1
2025-10-08 16:47:00,Limpieza,116,0,0
2025-09-05 09:05:00,Lacteos,108,131,1
2025-03-16 19:39:00,Limpieza,103,0,0
2025-03-30 14:14:00,Congelados,108,0,0
2025-08-09 09:16:00,Condimentos,118,6,1
2025-11-11 15:54:00,Limpieza,102,0,0
2025-09-27 16:45:00,Congelados,113,0,0
2025-11-14 18:25:00,Condimentos,114,0,0
2025-02-03 16:21:00,Frutas_Verduras,114,67,1
2025-11-04 14:22:00,Panaderia,118,58,1
2024-12-02 19:35:00,Condimentos,110,0,0
2025-02-11 10:43:00,Frutas_Verduras,110,0,0
2025-06-09 16:06:00,Limpieza,112,0,0
2025-10-11 18:52:00,Enlatados,119,38,1
2024-11-29 11:32:00,Bebidas_Gaseosas,103,120,1
2025-05-01 11:56:00,Condimentos,113,10,1
